t,px,py,pz,vx,vy,vz,epx,epy,epz,target_speed,target_alt,target_heading,throttle,aileron,elevator,rudder
0,0,0,-100,15,0,0,0.149996,4.12346e-06,-99.7547,18,120,-1.37518e-08,0.150622,2.01525e-05,0.0601,0
0.01,0.135062,0,-100.001,13.5062,0,-0.1202,0.299994,8.13452e-07,-99.5441,18,120,-2.71422e-09,0.150892,0.00030756,0.0602,0
0.02,0.270151,0,-100.002,13.5089,0,-0.1204,0.449995,-8.64037e-06,-99.3998,18,120,2.88445e-08,0.15162,9.67607e-05,0.0603,0
0.03,0.405313,0,-100.004,13.5162,0,-0.1206,0.599979,-9.13881e-06,-99.7209,18,120,3.05237e-08,0.1541,2.97203e-05,0.0604,0
0.04,0.540723,0,-100.005,13.541,0,-0.1208,0.749968,-1.52729e-05,-99.706,18,120,5.10372e-08,0.152604,-2.41247e-05,0.0605,0
0.05,0.675984,0,-100.006,13.526,0,-0.121,0.899962,-2.278e-05,-99.7174,18,120,7.61617e-08,0.15307,-0.000175783,0.0606,0
0.06,0.811291,0,-100.007,13.5307,0,-0.1212,1.04996,-2.95997e-05,-99.7533,18,120,9.90121e-08,0.153842,0.000163338,0.0607,0
0.07,0.946675,0,-100.008,13.5384,0,-0.1214,1.19995,-4.27844e-05,-99.8609,18,120,1.43187e-07,0.156123,-0.000340105,0.0608,0
0.08,1.08229,0,-100.01,13.5612,0,-0.1216,1.34993,-4.6651e-05,-99.7771,18,120,1.56206e-07,0.155615,0.00114339,0.0609,0
0.09,1.21785,0,-100.011,13.5561,0,-0.1218,1.4999,-4.19618e-05,-99.7598,18,120,1.40575e-07,0.157798,0.000160433,0.061,0
0.1,1.35363,0,-100.012,13.578,0,-0.122,1.64987,-2.95832e-05,-99.8957,18,120,9.91558e-08,0.156813,0.000272442,0.0611,0
0.11,1.48931,0,-100.013,13.5681,0,-0.1222,1.79983,-1.23398e-05,-99.7838,18,120,4.1381e-08,0.157252,-0.00043754,0.0612,0
0.12,1.62504,0,-100.015,13.5725,0,-0.1224,1.9498,-6.28639e-06,-99.6838,18,120,2.10917e-08,0.15831,0.0001719,0.0613,0
0.13,1.76087,0,-100.016,13.5831,0,-0.1226,2.09975,-8.38555e-06,-99.7308,18,120,2.81488e-08,0.159712,0.000463999,0.0614,0
0.14,1.89684,0,-100.017,13.5971,0,-0.1228,2.2497,-1.50433e-05,-99.8847,18,120,5.05233e-08,0.15964,-0.000717875,0.0615,0
0.15,2.0328,0,-100.018,13.5964,0,-0.123,2.39965,-1.80418e-05,-99.8777,18,120,6.06243e-08,0.160491,-0.000368789,0.0616,0
0.16,2.16885,0,-100.019,13.6049,0,-0.1232,2.54957,-9.19763e-06,-99.9795,18,120,3.09216e-08,0.162585,0.000244032,0.0617,0
0.17,2.30511,0,-100.021,13.6259,0,-0.1234,2.6995,-5.28513e-07,-100.045,18,120,1.77771e-09,0.160888,-0.000696856,0.0618,0
0.18,2.4412,0,-100.022,13.6089,0,-0.1236,2.84942,1.50006e-05,-100.067,18,120,-5.04816e-08,0.162125,0.00057922,0.0619,0
